,title,length,age,genres,actors,directors,producers,synopsis,url,theater,showings
0,28 años después: El templo de los huesos,109,M-18,TERROR,"['Ralph Fiennes', ""Jack O'Connell"", 'Alfie Williams', 'Erin Kellyman', 'Chi Lewis-Parry']",['Nia DaCosta'],"['Danny Boyle', 'Alex Garland', 'Andrew Macdonald', 'Peter Rice', 'Bernard Bellew']","Ampliando el mundo creado por Danny Boyle y Alex Garland en ‘28 años después’, pero dándole un giro radical, Nia DaCosta dirige ‘28 años después: El templo de los huesos’. En la continuación de esta épica historia, el Dr. Kelson (Ralph Fiennes) se ve envuelto en una nueva y sorprendente relación, cuyas consecuencias podrían cambiar el mundo tal y como lo conocen, y el encuentro de Spike (Alfie Williams) con Jimmy Crystal (Jack O'Connell) se convierte en una pesadilla de la que no puede escapar. En el mundo de ‘El templo de los huesos’, los infectados ya no son la mayor amenaza para la supervivencia: la inhumanidad de los supervivientes puede ser aún más extraña y aterradora.",h,yelmo,"{'meridiano': {'2D ESPAÑOL': {'639063648000000000': ['22:25'], '639064512000000000': ['22:25'], '639065376000000000': ['22:15'], '639066240000000000': ['22:15'], '639067104000000000': ['22:15'], '639067968000000000': ['22:15'], '639068832000000000': ['22:05'], '639069696000000000': ['22:15'], '639070560000000000': ['22:15']}}}"
1,Tres adioses,120,M-12,DRAMA,"['Alba Rohrwacher', 'Sarita Choudhury', 'Elio Germano']",['Isabel Coixet'],,"Tras lo que parecía una discusión sin importancia, Marta (Alba Rohrwacher) y Antonio (Elio Germano) se separan. Él, un chef prometedor, se refugia en sus fogones; ella, en su silencio, empieza a notar algo más que tristeza: ha perdido el apetito… y no solo por desamor. Cuando descubre que detrás hay un problema de salud, todo da un giro inesperado: la comida sabe mejor, la música le llega como nunca y el deseo despierta sus ganas de vivir sin miedo.",t,yelmo,"{'meridiano': {'2D ESPAÑOL': {'639063648000000000': ['17:05', '19:30'], '639064512000000000': ['17:30'], '639065376000000000': ['17:45'], '639066240000000000': ['20:15'], '639067104000000000': ['20:05'], '639067968000000000': ['20:05'], '639068832000000000': ['20:05'], '639069696000000000': ['20:05'], '639070560000000000': ['20:05']}, '2D ITALIANO SUBTITULADO EN ESPAÑOL (VOSE)': {'639067104000000000': ['12:10'], '639068832000000000': ['12:10']}}}"
2,Avatar: Fuego y ceniza,197,M-12,CIENCIA FICCIÓN,"['Sigourney Weaver', 'Sam Worthington', 'Zoe Saldana', 'Giovanni Ribisi', 'Stephen Lang', 'Oona Chaplin', 'Cliff Curtis', 'Joel David Moore']",['James Cameron'],"['James Cameron', 'Jon Landau']","Tercera entrega de la saga ""Avatar"". Presenta al Pueblo de las Cenizas, un clan Na'vi no tan pacífico que utilizará la violencia si lo necesita para conseguir sus objetivos, aunque sea contra otros clanes.",t,yelmo,"{'la-villa-de-orotava': {'3D ESPAÑOL': {'639063648000000000': ['20:00'], '639064512000000000': ['20:00'], '639065376000000000': ['20:40'], '639066240000000000': ['20:40'], '639067104000000000': ['20:40'], '639067968000000000': ['20:05'], '639068832000000000': ['20:40'], '639069696000000000': ['20:05'], '639070560000000000': ['20:05']}, '2D ESPAÑOL': {'639064512000000000': ['21:00']}}, 'meridiano': {'2D ESPAÑOL': {'639063648000000000': ['21:10'], '639066240000000000': ['20:30'], '639067104000000000': ['12:00', '20:10'], '639068832000000000': ['12:00']}, '3D ESPAÑOL': {'639063648000000000': ['20:00'], '639064512000000000': ['20:05'], '639065376000000000': ['20:05'], '639069696000000000': ['20:20'], '639070560000000000': ['20:20']}}}"
3,La asistenta,131,M-16,THRILLER,"['Sydney Sweeney', 'Brandon Sklenar', 'Michele Morrone', 'Amanda Seyfried']",['Paul Feig'],"['Paul Feig', 'Todd Lieberman', 'Laura Fischer', 'Carly Kleinbart']","Millie es una joven que, tras perder su trabajo, acepta un puesto como sirvienta en la lujosa pero inquietante mansión de los Winchester. Pronto se da cuenta de que algo no está bien en la casa y con sus habitantes, especialmente con Nina, la dueña, que actúa de manera errática. Adaptación de la novela de Freida McFadden.",p,yelmo,"{'la-villa-de-orotava': {'2D ESPAÑOL': {'639063648000000000': ['17:05', '19:40', '22:20'], '639064512000000000': ['17:10', '22:20'], '639065376000000000': ['19:35', '22:15'], '639066240000000000': ['19:35', '22:15'], '639067104000000000': ['19:35', '22:15'], '639067968000000000': ['19:35', '22:15'], '639068832000000000': ['19:35', '22:15'], '639069696000000000': ['19:35', '22:15'], '639070560000000000': ['19:35', '22:15']}}, 'meridiano': {'2D ESPAÑOL': {'639063648000000000': ['17:00', '19:40', '22:20'], '639064512000000000': ['17:00', '19:40', '22:20'], '639065376000000000': ['19:55', '22:40'], '639066240000000000': ['19:55', '22:40'], '639067104000000000': ['12:25', '19:40', '22:20'], '639067968000000000': ['17:00', '19:40', '22:20'], '639068832000000000': ['12:25', '19:40', '22:20'], '639069696000000000': ['19:40', '22:20'], '639070560000000000': ['19:40', '22:20']}}}"
4,Sin piedad,99,M-12,CIENCIA FICCIÓN,"['Rebecca Ferguson', 'Chris Pratt', 'Annabelle Wallis', 'Kali Reis', 'Chris Sullivan', 'Kylie Rogers']",['Timur Bekmambetov'],"['Charles Roven', 'Robert Amidon', 'Majd Nassif']","En un futuro próximo, un detective (Chris Pratt) es acusado de asesinar a su esposa. Tiene 90 minutos para demostrar su inocencia ante la Jueza de la I.A. avanzada (Rebecca Ferguson), a la que él mismo defendió en su día, antes de que esta decida su destino.",s,yelmo,"{'la-villa-de-orotava': {'2D ESPAÑOL': {'639063648000000000': ['17:00'], '639064512000000000': ['17:00']}}, 'meridiano': {'2D ESPAÑOL': {'639064512000000000': ['17:00']}}}"
5,La lucha,92,M-7,DRAMA,"['Tomasín Padrón', 'Aridany Pérez', 'Yazmina Estupiñan', 'Sara Cano', 'Inés Cano']",['José Ángel Alayón'],,"En la árida isla de Fuerteventura, Miguel y su hija Mariana intentan seguir adelante tras la muerte de su esposa, una pérdida que los ha dejado a la deriva. La lucha canaria es su refugio, su forma de hacerse un lugar en el mundo. Pero el cuerpo de Miguel empieza a fallar, y la rabia de Mariana la empuja a desafiar las normas. Con la final del campeonato cerca, padre e hija buscan reencontrarse antes de que sea demasiado tarde.",:,yelmo,"{'la-villa-de-orotava': {'2D ESPAÑOL': {'639063648000000000': ['18:15'], '639064512000000000': ['18:15'], '639065376000000000': ['17:05']}}, 'meridiano': {'2D ESPAÑOL': {'639063648000000000': ['17:00'], '639064512000000000': ['17:00'], '639065376000000000': ['17:10'], '639067968000000000': ['20:00'], '639068832000000000': ['16:45'], '639069696000000000': ['18:00'], '639070560000000000': ['18:00']}}}"
6,Ídolos,126,M-12,DRAMA,"['Enrique Arce', 'Óscar Casas', 'Mario Ermito', 'Claudio Santamaria', 'Saul Nanni', 'Simone Baldasseroni']",['Mat Whitecross'],"['Marco Belardi', 'Ricardo Marco Budé', 'Jordi Gasull', 'Marc Sabé', 'Ignacio Salazar-Simpson', 'Toni Novella']","Edu es un joven piloto de motos muy agresivo en quien ningún equipo confía. Eli, jefe del equipo de Aspar Team en Moto2, le ofrece una oportunidad con la condición de que sea su padre, Antonio Belardi, quien le entrene. Edu lleva muchos años sin ver a su padre, un expiloto que se retiró de las pistas tras provocar la muerte de otro piloto durante una carrera. Aunque Edu odia a su padre por haberle abandonado, sabe que sólo con él puede llegar a alcanzar su sueño. Edu se someterá al estricto control de preparación que le exige Antonio, el cual incluye dejar a un lado el amor… Hasta que conoce a Luna, una joven artista que acaba de abrir un salón de tatuajes justo debajo de su casa.",/,yelmo,"{'la-villa-de-orotava': {'2D ESPAÑOL': {'639063648000000000': ['17:10', '19:50'], '639064512000000000': ['17:10', '19:50'], '639065376000000000': ['19:20'], '639066240000000000': ['19:20'], '639067104000000000': ['19:20'], '639067968000000000': ['19:20'], '639068832000000000': ['19:20'], '639069696000000000': ['19:20'], '639070560000000000': ['19:20']}}, 'meridiano': {'2D ESPAÑOL': {'639063648000000000': ['18:30'], '639064512000000000': ['17:40', '22:20'], '639065376000000000': ['17:20'], '639066240000000000': ['17:20'], '639067104000000000': ['17:05'], '639067968000000000': ['17:15'], '639068832000000000': ['17:05'], '639069696000000000': ['17:05'], '639070560000000000': ['17:05']}}}"
7,Hamnet,125,M-12,DRAMA,"['Joe Alwyn', 'Jessie Buckley', 'Paul Mescal', 'Emily Watson']",['Chloé Zhao'],"['Steven Spielberg', 'Sam Mendes', 'Liza Marshall', 'Pippa Harris', 'Nicolas Gonda']","Narra la historia de Agnes, la esposa de William Shakespeare, en su lucha por superar la pérdida de su único hijo, Hamnet. Una historia humana y desgarradora como telón de fondo para la creación de la obra de Shakespeare, Hamlet.",/,yelmo,"{'la-villa-de-orotava': {'2D ESPAÑOL': {'639063648000000000': ['17:10', '19:40', '22:10'], '639064512000000000': ['17:10', '19:40', '22:10'], '639065376000000000': ['17:20', '19:55'], '639066240000000000': ['17:20', '19:55'], '639067104000000000': ['17:20', '19:55'], '639067968000000000': ['17:20', '19:55'], '639068832000000000': ['19:55'], '639069696000000000': ['17:20', '19:55'], '639070560000000000': ['17:20', '19:55']}, '2D INGLÉS SUBTITULADO EN ESPAÑOL (VOSE)': {'639068832000000000': ['17:20']}}, 'meridiano': {'2D ESPAÑOL': {'639063648000000000': ['17:15', '19:50'], '639064512000000000': ['17:15', '19:50'], '639065376000000000': ['17:00', '19:35'], '639066240000000000': ['16:50', '19:30'], '639067104000000000': ['16:50', '19:30'], '639067968000000000': ['17:00', '19:35'], '639068832000000000': ['19:30'], '639069696000000000': ['17:00', '19:35'], '639070560000000000': ['17:00', '19:35']}, '2D INGLÉS SUBTITULADO EN ESPAÑOL (VOSE)': {'639067104000000000': ['12:50'], '639068832000000000': ['12:50', '16:50']}}}"
8,Marty Supreme,149,M-16,DRAMA,"['Abel Ferrara', 'Timothée Chalamet', 'Odessa A’zion', 'Gwyneth Paltrow', 'Kevin O’Leary', 'Sandra Bernhard', 'Tyler Okonma', 'Fran Drescher']",['Josh Safdie'],"['Timothée Chalamet', 'Eli Bush', 'Ronald Bronstein', 'Josh Safdie', 'Anthony Katagas']","La historia se centra en la apasionante carrera de Marty Reisman, interpretado por el dos veces nominado al Oscar© Timothée Chalamet (Call me by your name, A Complete Unknown), un pasante de apuestas que descubre su pasión por el tenis de mesa. Comenzando en clubes clandestinos, su estilo intrépido y carismático lo llevó a ganar 22 importantes títulos, representando además a Estados Unidos en torneos mundiales, siendo el campeón más veterano en este deporte con 67 años.",w,yelmo,"{'la-villa-de-orotava': {'2D ESPAÑOL': {'639063648000000000': ['19:05', '22:00'], '639064512000000000': ['19:05', '22:00'], '639065376000000000': ['19:05', '22:05'], '639066240000000000': ['19:05', '22:05'], '639067104000000000': ['19:05', '22:05'], '639067968000000000': ['17:15', '19:05', '22:05'], '639068832000000000': ['17:15', '19:05'], '639069696000000000': ['17:15', '19:05', '22:05'], '639070560000000000': ['17:15', '19:05', '22:05']}, '2D INGLÉS SUBTITULADO EN ESPAÑOL (VOSE)': {'639068832000000000': ['22:05']}}, 'meridiano': {'2D ESPAÑOL': {'639063648000000000': ['19:00', '22:00'], '639064512000000000': ['19:00', '22:00'], '639065376000000000': ['17:30', '20:30'], '639066240000000000': ['19:00', '22:00'], '639067104000000000': ['19:00', '22:00'], '639067968000000000': ['17:30', '20:30'], '639068832000000000': ['21:45'], '639069696000000000': ['17:30', '20:30'], '639070560000000000': ['17:30', '20:30']}, '2D INGLÉS SUBTITULADO EN ESPAÑOL (VOSE)': {'639067104000000000': ['12:40'], '639068832000000000': ['12:40', '18:45']}}}"
9,Aída y vuelta,100,M-12,COMEDIA,"['Secun de la Rosa', 'Carmen Machi', 'Miren Ibarguren', 'Paco León', 'Eduardo Casanova', 'David Castillo']",['Paco León'],,"""Aída y vuelta"", el largometraje, aborda el rodaje de un capítulo de la serie con tramas que transcurren tanto dentro de la ficción con los personajes de ""Aída"", como fuera de ella con los propios actores y sus relaciones, yendo más allá y dando pie a reflexionar sobre temas como los límites del humor, del trabajo del cómico y la fama.",w,yelmo,"{'la-villa-de-orotava': {'2D ESPAÑOL': {'639063648000000000': ['18:00', '20:10', '22:20'], '639064512000000000': ['18:00', '20:10', '22:20'], '639065376000000000': ['18:20', '20:30', '22:40'], '639066240000000000': ['16:10', '18:20', '20:30', '22:40'], '639067104000000000': ['16:10', '18:20', '20:30', '22:40'], '639067968000000000': ['18:20', '20:30', '22:40'], '639068832000000000': ['16:10', '18:20', '20:30', '22:40'], '639069696000000000': ['18:20', '20:30', '22:40'], '639070560000000000': ['18:20', '20:30', '22:40']}}, 'meridiano': {'2D ESPAÑOL': {'639063648000000000': ['18:10', '20:20', '22:30'], '639064512000000000': ['18:10', '20:20', '22:30'], '639065376000000000': ['18:15', '20:25', '22:35'], '639066240000000000': ['16:05', '18:15', '20:25', '22:35'], '639067104000000000': ['15:40', '17:50', '20:00', '22:10'], '639067968000000000': ['18:10', '20:20', '22:30'], '639068832000000000': ['12:20', '15:40', '17:50', '20:00', '22:10'], '639069696000000000': ['18:10', '20:00', '22:10'], '639070560000000000': ['18:10', '20:00', '22:10']}}}"
